Date,Pipeline Name,Key Point,Available Capacity (1000 m3/d),Original Nominations (1000 m3/d),Accepted Nominations (1000 m3/d),Apportionment Percentage
2014-07-01,Cochin,Ft. Saskatchewan,12.08,,,
2014-07-01,Cochin,Ft. Saskatchewan,15.1,10.62,,0.0
2014-08-01,Cochin,Ft. Saskatchewan,12.08,,,
2014-08-01,Cochin,Ft. Saskatchewan,15.1,10.22,,0.0
2014-09-01,Cochin,Ft. Saskatchewan,12.08,,,
2014-09-01,Cochin,Ft. Saskatchewan,15.1,12.69,,0.0
2014-10-01,Cochin,Ft. Saskatchewan,15.1,8.96,,0.0
2014-10-01,Cochin,Ft. Saskatchewan,12.08,,,
2014-11-01,Cochin,Ft. Saskatchewan,12.08,,,
2014-11-01,Cochin,Ft. Saskatchewan,15.1,9.52,,0.0
2014-12-01,Cochin,Ft. Saskatchewan,12.08,,,
2014-12-01,Cochin,Ft. Saskatchewan,15.1,15.04,,0.0
2015-01-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-01-01,Cochin,Ft. Saskatchewan,15.1,12.16,,0.0
2015-02-01,Cochin,Ft. Saskatchewan,15.1,14.6,,0.0
2015-02-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-03-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-03-01,Cochin,Ft. Saskatchewan,15.1,15.01,,0.0
2015-04-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-04-01,Cochin,Ft. Saskatchewan,15.1,13.15,,0.0
2015-05-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-05-01,Cochin,Ft. Saskatchewan,15.1,13.22,,0.0
2015-06-01,Cochin,Ft. Saskatchewan,15.1,10.21,,0.0
2015-06-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-07-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-07-01,Cochin,Ft. Saskatchewan,15.1,13.96,,0.0
2015-08-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-08-01,Cochin,Ft. Saskatchewan,15.1,14.16,,0.0
2015-09-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-09-01,Cochin,Ft. Saskatchewan,15.1,13.19,,0.03162
2015-10-01,Cochin,Ft. Saskatchewan,15.1,12.59,,0.0
2015-10-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-11-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-11-01,Cochin,Ft. Saskatchewan,15.1,11.07,,0.0
2015-12-01,Cochin,Ft. Saskatchewan,12.08,,,
2015-12-01,Cochin,Ft. Saskatchewan,15.1,13.69,,0.0
2016-01-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-01-01,Cochin,Ft. Saskatchewan,15.1,13.72,,0.0
2016-02-01,Cochin,Ft. Saskatchewan,15.1,12.02,,0.0
2016-02-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-03-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-03-01,Cochin,Ft. Saskatchewan,15.1,12.98,,0.0
2016-04-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-04-01,Cochin,Ft. Saskatchewan,15.1,12.66,,0.0
2016-05-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-05-01,Cochin,Ft. Saskatchewan,15.1,12.75,,0.0
2016-06-01,Cochin,Ft. Saskatchewan,15.1,14.92,,0.0
2016-06-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-07-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-07-01,Cochin,Ft. Saskatchewan,15.1,15.1,,0.0586
2016-08-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-08-01,Cochin,Ft. Saskatchewan,15.1,14.51,,0.0
2016-09-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-09-01,Cochin,Ft. Saskatchewan,14.34,14.34,,0.05
2016-10-01,Cochin,Ft. Saskatchewan,15.1,14.54,,0.1014308
2016-10-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-11-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-11-01,Cochin,Ft. Saskatchewan,15.1,15.1,,0.049683228
2016-12-01,Cochin,Ft. Saskatchewan,12.08,,,
2016-12-01,Cochin,Ft. Saskatchewan,15.1,13.93,,0.0
2017-01-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-01-01,Cochin,Ft. Saskatchewan,15.1,13.51,,0.0
2017-02-01,Cochin,Ft. Saskatchewan,15.1,15.36,,0.027726432532347505
2017-02-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-03-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-03-01,Cochin,Ft. Saskatchewan,15.1,14.19,,0.0
2017-04-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-04-01,Cochin,Ft. Saskatchewan,15.1,14.76,,0.0
2017-05-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-05-01,Cochin,Ft. Saskatchewan,15.1,15.51,,0.0
2017-06-01,Cochin,Ft. Saskatchewan,15.1,13.59,,0.0
2017-06-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-07-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-07-01,Cochin,Ft. Saskatchewan,15.1,14.29,,0.0
2017-08-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-08-01,Cochin,Ft. Saskatchewan,15.1,15.51,,0.0
2017-09-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-09-01,Cochin,Ft. Saskatchewan,15.1,13.59,,0.0
2017-10-01,Cochin,Ft. Saskatchewan,15.1,14.62,,0.0
2017-10-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-11-01,Cochin,Ft. Saskatchewan,0.0,,,
2017-11-01,Cochin,Ft. Saskatchewan,15.1,13.73,,0.0
2017-12-01,Cochin,Ft. Saskatchewan,12.08,,,
2017-12-01,Cochin,Ft. Saskatchewan,15.1,12.23,,0.0
2018-01-01,Cochin,Ft. Saskatchewan,15.1,13.04,,0.0
2018-02-01,Cochin,Ft. Saskatchewan,15.1,14.09,,0.0
2018-03-01,Cochin,Ft. Saskatchewan,15.1,15.15,,0.0
2018-04-01,Cochin,Ft. Saskatchewan,15.1,15.4,,0.0
2018-05-01,Cochin,Ft. Saskatchewan,15.1,11.94,,0.0
2018-06-01,Cochin,Ft. Saskatchewan,15.1,14.57,,0.0
2018-07-01,Cochin,Ft. Saskatchewan,15.1,14.61,,0.0
2018-08-01,Cochin,Ft. Saskatchewan,15.1,12.66,,0.0
2018-09-01,Cochin,Ft. Saskatchewan,15.1,9.65,,0.0
2018-10-01,Cochin,Ft. Saskatchewan,15.1,14.27,,0.0
2018-11-01,Cochin,Ft. Saskatchewan,15.1,7.31,,0.0
2018-12-01,Cochin,Ft. Saskatchewan,15.1,12.21,,0.0
2019-01-01,Cochin,Ft. Saskatchewan,15.1,14.71,,0.0
2019-02-01,Cochin,Ft. Saskatchewan,15.1,12.15,,0.0
2019-03-01,Cochin,Ft. Saskatchewan,15.1,13.96,,0.0
2019-04-01,Cochin,Ft. Saskatchewan,15.1,15.4,,0.0
2019-05-01,Cochin,Ft. Saskatchewan,15.1,11.94,,0.0
2019-06-01,Cochin,Ft. Saskatchewan,15.1,14.57,,0.0
2019-07-01,Cochin,Ft. Saskatchewan,15.1,15.71,,0.0
2019-08-01,Cochin,Ft. Saskatchewan,15.1,15.34,,0.0
