id,e,f
179,Reconfigure Elko Compressor Station,Reconfiguration de la station de compression Elko
390,Construct Mackenzie Valley Pipeline,Construction du pipeline de la vallée du Mackenzie
403,Regulatory Gaps,Lacunes réglementaires
541,Leave to Open - Keystone,Demande d’autorisation de mise en service du pipeline Keystone
561,Deactivate Windsor-Dow Pipeline,Désactivation du pipeline Windsor-Dow
563,Construct Keystone XL Pipeline,Construction du pipeline Keystone XL
572,Construct Groundbirch Pipeline,Construction du pipeline Groundbirch
582,Upgrade Dorsey IPL,Amélioration de la ligne internationale de transport d’électricité Dorsey
583,Rupture Peace River Mainline,Rupture de la canalisation principale à Peace River
584,Construct Fort Nelson Processing Facility,Construction d’installations de traitement à Fort Nelson
585,Variance Post Construction Clean Up,Demande de modification visant les travaux de nettoyage après construction
587,Decommission Delivery Line to Shell Montreal Pipe,Désaffectation de la canalisation de livraison à Shell Montréal
588,Deactivate Sikanni Re-injection Facilities,Désactivation des installations de réinjection Sikanni
589,Upgrade IPL cable,Remplacement du câble de communication de LIT
590,Construct Ojay Pipeline,Construction du pipeline Ojay
591,Modify Moosehorn River Sales Lateral,Modification de la canalisation latérale au point de vente Moosehorn River
592,Construct South Maxhamish Loop,Construction du doublement South Maxhamish
593,Construct Horn River and Ekwan Pipeline Purchase,Construction du pipeline Horn River et acquisition du pipeline Ekwand
594,Construct Enbridge Phase II,Construction liée à la phase II du projet d’agrandissement
595,Export Power 10 Years to Merrill,Exportation d’électricité à Merrill pendant 10 ans
596,Construct Doe Creek and Henderson Creek Lateral Loop,Construction de la canalisation latérale de doublement à Doe Creek et Henderson Creek
597,Construct Kearl Extension and Sales Meter Station,Construction du prolongement Kearl et de la station de comptage à ce point de vente
598,Transfer Board Orders from Taurus Exploration  to Bonavista,Transfert des ordonnances de l’Office de Taurus Exploration à Bonavista
599,Deactivate KP 310 to KP 468 - TMPU,Désactivation d’un tronçon de la BK 310 à la BK 468
601,Deactivate AB System Meter Stations,Désactivation de stations de comptage du réseau de l’Alberta
602,Construct Bear River West Lateral Loop,Construction de la canalisation latérale de doublement Bear River West
604,Construct Dawson,Construction du pipeline Dawson
605,Upgrade Cromer Tank Interconnectivity,Amélioration de l’interconnexion des réservoirs au terminal Cromer
606,Deactivate East Kotcho Pipeline,Désactivation du pipeline East Kotcho
608,Deactivate Alberta System Compressor Units,Désactivation de motocompresseurs du réseau de l’Alberta
610,Construct Hardisty Terminal Meter Manifold 150,Construction liée au collecteur 150 de la station de comptage au terminal Hardisty
611,Upgrade Letellier IPL,Amélioration de la ligne internationale de transport d’électricité Letellier
613,Construct Saamis Sale Meter Station,Construction de la station de comptage au point de vente Saamis
614,Safety Order TNPI,Ordonnance de sécurité à Pipelines Trans-Nord Inc.
615,Deactivate North Jedney Extension,Désactivation du prolongement North Jedney
616,Reactivate & Reversal - Enbridge Line EX-02,Réactivation et inversion de la canalisation EX-02
617,Construct Southern Lights Connectors at Edmonton Terminal,Construction liée aux connecteurs Southern Lights au terminal Edmonton
618,2009-2010 OPR Audit,Audit 2009-2010 aux termes du RPT
619,Relocate Pelican Mainline Back-up Loop,Déplacement du doublement de secours de la canalisation principale Pelican
620,Decommission & Deactivate Cromer Terminal,Désaffectation et désactivation du terminal Cromer
621,Construct Cutbank River Lateral Loop,Construction du doublement de la canalisation latérale de la rivière Cutbank
622,Variance XG-R040-10-2003,Demande de modification XG-R040-10-2003
623,Construct Watino Crossover and Calais,Construction du croisement Watino et du prolongement Calais
624,Replace Beatton River,Remplacement à Beatton River
625,Incident Enbridge in North Dakota,Incident au Dakota du Nord
626,Construct Snuff Mountain North Meter Station,Construction de la station de comptage Snuff Mountain North
627,Deviate Dewdney Spur,Déviation du pipeline Dewdney Spur
628,Construct Port Elgin Meter Station,Construction de la station de comptage Port Elgin
629,Incident Release of Product at Wrigley NWT on 2011-09-05,Incident de rejet de produit à Wrigley (Territoires du Nord-Ouest) le 2011-09-05
630,Construct NGTL Northwest Mainline,Construction de la canalisation principale Nord-Ouest
631,Construct Cutbank Musreau Area,Construction dans la région de Cutbank-Musreau
632,Construct Cheecham - Kettle River Area,Construction dans la région de Cheecham-Kettle River
633,Construct Gething Source Water Pipeline,Construction du pipeline d’approvisionnement en eau Gething
634,Construct Edmonton Terminal Manifold 213 Extension Phase II,Construction liée à la phase II de l’agrandissement du collecteur 213 au terminal Edmonton
635,Construct Southern Lights Connectivity,Construction du raccordement Plains Southern Lights
636,Incident Oil Release at Chip Lake AB on 2011-04-22,Incident de déversement de pétrole à Chip Lake Alberta le 2011-04-22
647,Construct Berland River Compressor Station,Construction du motocompresseur à la station Berland River
648,Construct Whiskey Jack Lake Meter Station,Construction de la station de comptage Whiskey Jack Lake
649,Upgrade Line 9 Reversal Phase I,Amélioration liée à l’inversion de la canalisation 9 – phase I
650,Abandon Empire Odourant Station,Cessation d’exploitation du poste d’odorisation Empire
651,Decommission Hamelin Creek Meter Skid,Désaffectation du châssis mobile de comptage Hamelin Creek
653,Variance pursuant to Section 21(1) TMPU,Demande de modification aux termes de l’article 21(1)
654,Construct Cromer Terminal,Construction du terminal Cromer
655,Construct Leismer to Kettle River Crossover,Construction du croisement Leismer-Kettle River
656,Exemption from s.17 of OPR 99 - NGTL,Demande d’exemption des dispositions de l’article 17 du RPT-99
657,Deactivate Siphon Booster Station(BS-14),Désactivation de la station auxiliaire Siphon (BS-14)
658,Transfer TCPL to NGTL,Transfert de TCPL à NGTL
659,Deactivate North and South Shekilie Pipelines,Désactivation des pipelines Shekilie Nord et Sud
660,Construct 2012 Eastern Mainline,Construction du réseau principal Est en 2012
661,Construct Harmattan Plant Connections,Construction de raccordements à l’usine de chevauchement Harmattan
662,Construct T-North 2012,Construction liée à l’agrandissement de T-Nord en 2012
663,Audit Findings for TNPI prompting Safety Order,Résultats d’audit à l’origine de l’ordonnance de sécurité
