id,e,f
6,Emergency Management,Gestion des situations d’urgence
5,Damage Prevention,Prévention des dommages
11,Standard Condition,Conditions normales
1,Management System,Système de gestion
17,Administrative,Administratif
9,Integrity Management,Gestion de l’intégrité
12,Sunset Clause,Disposition de temporisation
3,Environmental Protection,Protection de l’environnement
4,Security,Sûreté
18,Socio-Economic,Socioéconomique
15,Enforcement,Exécution
10,Financial,Financier
7,Safety Management,Gestion de la sécurité
