Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released (m3),Substance,Release Type,Significant,Year,What Happened,Why It Happened
INC2007-097,Release of Substance,01/02/2008,Grande Prairie,Alberta,Alliance Pipeline Ltd.,Closed,54.84,-118.65,Not Provided,Natural Gas - Sweet,Gas,No,2008,Corrosion and Cracking,Maintenance
INC2008-001,Release of Substance,01/02/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73135,-101.23557,8.0000,Crude Oil - Sweet,Liquid,No,2008,Corrosion and Cracking,Maintenance
INC2008-004,Release of Substance,01/23/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73135,-101.23557,100.0000,Crude Oil - Sweet,Liquid,No,2008,Equipment Failure,Maintenance
INC2008-008,Release of Substance,01/29/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.012,-122.694333,Not Provided,Natural Gas - Sweet,Gas,No,2008,Defect and Deterioration,Maintenance
INC2008-009,"Release of Substance, Adverse Environmental Effects",01/29/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14377,-120.51605,Not Provided,Potassium Hydroxide (caustic solution),Miscellaneous,Yes,2008,Equipment Failure,"Maintenance, Standards and Procedures, Tools and Equipment"
INC2008-016,Release of Substance,02/23/2008,Beiseker,Alberta,Foothills Pipe Lines Ltd.,Closed,51.385029,-113.535263,Not Provided,Natural Gas - Sweet,Gas,No,2008,Defect and Deterioration,Maintenance
INC2008-018,Release of Substance,02/25/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Closed,50.20739,-101.48731,100.0000,Natural Gas - Sweet,Gas,No,2008,Incorrect Operation,Standards and Procedures
INC2008-020,Release of Substance,03/03/2008,Dryden,Ontario,TransCanada PipeLines Limited,Closed,49.7894,-92.76549,Not Provided,Natural Gas - Sweet,Gas,No,2008,Corrosion and Cracking,Maintenance
INC2008-021,Release of Substance,03/03/2008,Smooth Rock Falls,Ontario,TransCanada PipeLines Limited,Closed,49.30391,-82.04386,18.0000,Natural Gas - Sweet,Gas,No,2008,Equipment Failure,Maintenance
INC2008-027,Release of Substance,03/14/2008,Rapid City,Manitoba,TransCanada PipeLines Limited,Closed,50.07673,-99.99864,Not Provided,Natural Gas - Sweet,Gas,No,2008,Corrosion and Cracking,Maintenance
INC2008-030,Fatality,03/24/2008,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.92095,-109.17023,Not Applicable,Not Applicable,Not Applicable,Yes,2008,"External Interference, Incorrect Operation",Inadequate Supervision
INC2008-034,Release of Substance,04/01/2008,Haileybury,Ontario,TransCanada PipeLines Limited,Closed,47.44678,-79.76267,Not Provided,Natural Gas - Sweet,Gas,No,2008,Corrosion and Cracking,Engineering and Planning
INC2008-037,Release of Substance,04/18/2008,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.80823,-94.18954,Not Provided,Natural Gas - Sweet,Gas,No,2008,Defect and Deterioration,"Human Factors, Tools and Equipment"
INC2008-039,Release of Substance,04/21/2008,Regina,Saskatchewan,"Plains Marketing Canada, L.P.",Closed,50.48057,-104.56646,4.0000,Crude Oil - Sweet,Liquid,No,2008,Equipment Failure,Maintenance
INC2008-040,Release of Substance,04/25/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.27973,-120.96341,Not Provided,Natural Gas - Sour,Gas,Yes,2008,Defect and Deterioration,"Failure in communication, Human Factors"
INC2008-041,Release of Substance,04/25/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.33867,-121.87115,Not Provided,Natural Gas - Sour,Gas,Yes,2008,Equipment Failure,Maintenance
INC2008-043,Fire,05/01/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73115,-101.2355,Not Applicable,Not Applicable,Not Applicable,No,2008,External Interference,Maintenance
INC2008-045,Release of Substance,05/06/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.63826,-108.3544,9.4000,Crude Oil - Sweet,Liquid,No,2008,Defect and Deterioration,Standards and Procedures
INC2008-048,Release of Substance,05/12/2008,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.48386,-104.61447,7.0000,Crude Oil - Sweet,Liquid,No,2008,Equipment Failure,"Engineering and Planning, Maintenance"
INC2008-052,Fire,05/21/2008,Emerson,Manitoba,TransCanada PipeLines Limited,Closed,49.00106,-97.05547,Not Applicable,Not Applicable,Not Applicable,No,2008,Equipment Failure,Maintenance
INC2008-055,Adverse Environmental Effects,05/31/2008,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.47564,-120.37265,Not Applicable,Not Applicable,Not Applicable,Yes,2008,Equipment Failure,Maintenance
INC2008-056,Release of Substance,06/05/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5431,-113.35401,8.0000,Crude Oil - Sweet,Liquid,No,2008,Equipment Failure,Maintenance
INC2008-057,Release of Substance,06/06/2008,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87378,-79.57985,270.0000,Natural Gas - Sweet,Gas,No,2008,Corrosion and Cracking,Standards and Procedures
INC2008-058,Adverse Environmental Effects,06/09/2008,Not specified,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.21594,-66.71029,Not Applicable,Not Applicable,Not Applicable,Yes,2008,Equipment Failure,Maintenance
INC2008-060,Release of Substance,06/12/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Closed,49.91204,-98.51757,Not Provided,Natural Gas - Sweet,Gas,No,2008,Equipment Failure,Maintenance
INC2008-062,Fire,06/24/2008,Moyie,British Columbia,TransCanada PipeLines Limited,Closed,49.28795,-115.83383,Not Applicable,Not Applicable,Not Applicable,No,2008,External Interference,Standards and Procedures
INC2008-063,Fatality,06/25/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.63833,-108.35487,Not Applicable,Not Applicable,Not Applicable,Yes,2008,Incorrect Operation,"Human Factors, Inadequate Supervision, Standards and Procedures"
INC2008-067,Release of Substance,07/06/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54745,-113.35577,40.0000,Crude Oil - Synthetic,Liquid,No,2008,Incorrect Operation,Maintenance
INC2008-070,Release of Substance,07/17/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Closed,50.20731,-101.48747,Not Provided,Natural Gas - Sweet,Gas,No,2008,Defect and Deterioration,Human Factors
INC2008-072,Release of Substance,07/18/2008,Alameda,Saskatchewan,Alliance Pipeline Ltd.,Closed,49.31834,-102.28983,800.0000,Natural Gas - Sweet,Gas,No,2008,Equipment Failure,Maintenance
INC2008-075,Release of Substance,07/23/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5416,-113.36454,2.0000,Diesel Fuel,Liquid,No,2008,Equipment Failure,Standards and Procedures
INC2008-078,Release of Substance,07/31/2008,Hearst,Ontario,TransCanada PipeLines Limited,Closed,49.79469,-85.85655,Not Provided,Natural Gas - Sweet,Gas,No,2008,Defect and Deterioration,Maintenance
INC2008-079,Release of Substance,08/08/2008,Herbert,Saskatchewan,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Closed,50.539202,-107.30766,0.5000,Propane,Gas,No,2008,Equipment Failure,Maintenance
INC2008-080,Serious Injury (CER or TSB),08/15/2008,Valemount,British Columbia,Trans Mountain Pipeline ULC,Closed,53.024796,-119.151198,Not Applicable,Not Applicable,Not Applicable,Yes,2008,Incorrect Operation,"Human Factors, Maintenance, Standards and Procedures, Tools and Equipment"
INC2008-084,Fire,08/26/2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.10223,-106.35299,Not Applicable,Not Applicable,Not Applicable,No,2008,External Interference,Maintenance
INC2008-085,Fire,09/04/2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.44373,-107.37839,Not Applicable,Not Applicable,Not Applicable,No,2008,Equipment Failure,Engineering and Planning
INC2008-086,Release of Substance,08/28/2008,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Closed,49.85542,-93.36393,Not Provided,Natural Gas - Sweet,Gas,No,2008,Corrosion and Cracking,Standards and Procedures
INC2008-087,Release of Substance,09/05/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14631,-120.6692,0.1000,Butane,Gas,No,2008,External Interference,Human Factors
INC2008-091,Serious Injury (CER or TSB),09/16/2008,Pennfield,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.1982,-66.6422,Not Applicable,Not Applicable,Not Applicable,Yes,2008,External Interference,Standards and Procedures
INC2008-092,Serious Injury (CER or TSB),09/16/2008,Valemount,British Columbia,Trans Mountain Pipeline Inc.,Closed,52.83128,-119.2645,Not Applicable,Not Applicable,Not Applicable,Yes,2008,"External Interference, Incorrect Operation","Engineering and Planning, Human Factors, Inadequate Supervision, Tools and Equipment"
INC2008-095,Release of Substance,09/26/2008,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Closed,49.68098,-95.37458,Not Provided,Natural Gas - Sweet,Gas,No,2008,Corrosion and Cracking,Engineering and Planning
INC2008-097,Fire,10/07/2008,Huntsville,Ontario,TransCanada PipeLines Limited,Closed,45.33806,-79.24126,Not Applicable,Not Applicable,Not Applicable,No,2008,External Interference,Maintenance
INC2008-098,Release of Substance,10/16/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Closed,49.91211,-98.51757,Not Provided,Natural Gas - Sweet,Gas,No,2008,External Interference,Standards and Procedures
INC2008-103,Release of Substance,11/04/2008,Reynolds,Manitoba,TransCanada PipeLines Limited,Closed,49.65789,-96.16268,Not Provided,Natural Gas - Sweet,Gas,No,2008,Equipment Failure,Maintenance
INC2008-109,"Fire, Release of Substance",11/20/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14652,-120.66937,0.0050,Mixed HVP Hydrocarbons,Gas,No,2008,Equipment Failure,Maintenance
INC2008-110,Release of Substance,11/21/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,59.20196,-121.5963,10.0000,Condensate,Liquid,No,2008,Incorrect Operation,Inadequate Supervision
INC2008-111,Release of Substance,11/26/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56932,-121.94466,10.0000,Amine,Miscellaneous,No,2008,Defect and Deterioration,Maintenance
INC2008-112,Fire,11/26/2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.03189,-123.03117,Not Applicable,Not Applicable,Not Applicable,No,2008,Defect and Deterioration,Maintenance
