Event Number,Company Name,Company City,Company Postal Code,Company Province/Territory,Circumstance(s),Result Of A Class Location Change,Distance To Closest Building,Length Of Replacement Pipe,Integrity Dig,Dig Count,Activity Unplanned,Commencement Date,Completion Date,Event Creation Date,Submission Date,Pipeline Name,Pipeline Outside Diameter,Pipeline Length,Commodity Carried,Facility Name,Facility Type,Province/Territory,Nearest Populated Centre,New Land Area Needed,New Permanent Land Needed,Activity Acquiring New Private Land,Activity Acquiring New Land In Agreement With Landowner,Activity Acquiring New Land Under Compliance,Land Within Critical Habitat,New Temporary Land Needed,Provincial and federal authorities been consulted,Activity Crossing Water Body,Vehicle Crossing Count,Activity Following DFO Fish Measures For Crossing,Ground Disturbance Near Water Required,Fish Present,In Stream Work Required,Activity Following DFO Fish Measures For In Stream Work,Species At Risk Present At Activity Site,Activity Using Navigable Water,Navigable Water Frozen Or Dry,Navigable Water Activity Meeting Transport Canada Minor Works And Waters Order,In Stream Activity Start Date,In Stream Activity End Date,Restricted Activity Start Date,Restricted Activity End Date
OM2021-338,Alliance Pipeline Ltd as General Partner of Alliance Pipeline Limited Partnership,Calgary,T2P 3L8,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,09/30/2021,10/29/2021,08/12/2021,08/31/2021,Alliance Pipeline - Mainline,1066.8,338.0,Natural Gas Liquids,,,Alberta,Grande Prairie,,,No,No,No,No,,,No,0.0,No,Yes,Yes,Yes,No,Yes,Yes,No,No,09/30/2021,10/29/2021,08/01/2021,07/15/2022
OM2021-337,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,132.0,,No,,No,10/01/2021,02/28/2022,08/30/2021,08/30/2021,RICINUS SOUTH LATERAL - NPS 6,,,,,,Alberta,Sundre,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2021-336,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,10/01/2021,02/28/2022,08/30/2021,08/30/2021,,,,,HIDDEN LAKE,,Alberta,Keg River,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-335,Trans-Northern Pipelines Inc.,Richmond Hill - York - Richmond Hill,L4B 3P6,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,02/01/2022,03/10/2022,08/27/2021,08/27/2021,Mainline,,,,,,Ontario,Napanee,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2021-334,Enbridge Pipelines Inc.,Edmonton,T5J 3S4,Manitoba,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,09/27/2021,11/19/2021,08/26/2021,08/26/2021,Line 1,,,,,,Manitoba,Oak Lake,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-333,Westcoast Energy Inc.,Edmonton,T5J 3S4,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,09/27/2021,04/30/2022,08/26/2021,08/26/2021,"30"" Fort Nelson Mainline",,,,,,British Columbia,West Moberly,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-332,Trans Mountain Pipeline ULC,,,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,09/23/2021,12/31/2021,08/19/2021,08/25/2021,Mainline,,,,,,Alberta,Hinton,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2021-331,Trans Québec and Maritimes Pipeline Inc.,Calgary,T2P 5H1,Quebec,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,21.0,,Yes,1.0,No,10/01/2021,04/01/2022,08/23/2021,08/23/2021,Mainline,,,,,,Quebec,Saint-Lazare,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-331,Trans Québec and Maritimes Pipeline Inc.,Calgary,T2P 5H1,Quebec,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,21.0,,Yes,1.0,No,10/01/2021,04/01/2022,08/23/2021,08/23/2021,Mainline,,,,,,Quebec,Saint-Lazare,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-330,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,162.0,,Yes,2.0,No,09/21/2021,03/21/2022,08/23/2021,08/23/2021,Line 900-1,,,,,,Ontario,Sault Sainte Marie ,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
