EnglishProjectName,ProjectShortName,CS10FolderName,CS10FolderId
1057533 Alberta  s. 58 application - to construct and operate Gething Source Water Pipeline Tie-in Project,1057533 Alberta  s. 58 application - to construct ,,2396265.0
1057533 Alberta Ltd. application to abandon the Shekilie Pipeline.,Shekilie Abandonment ,,3915096.0
1057533 Alberta Ltd. s. 44 OPR deactivation application - Monchy Pipeline,1057533 Alberta Ltd. s. 44 OPR deactivation applic,2016-06-23 Application to Deactivate Monchy Pipeline,3028291.0
1057533 Alberta Ltd. s. 58 Application for 6-10-111-12W6 Riser Site,1057533 Alberta Ltd. s. 58 Application for 6-10-11,2015-04-13 - Application for 6-10-111-12W6 Riser Site,2758496.0
"1057533 Alberta Ltd., a Subsidiary of Harvest Operations Corp. Application for Pipeline Deactivation","1057533 Alberta Ltd., a Subsidiary of Harvest Oper",2012-04-12 - Application to Deactivate Shekilie Pipeline,808283.0
"18"" Highwater to Montreal East Transmission Pipeline Deactivation","18"" Highwater to Montreal East Transmission Pipeli","2011-02-23 - Application to Deactivate 18-inch Transmission Pipeline between Highwater and Montreal East, Quebec",672841.0
2000 CONSTRUCTION,2000 CONSTRUCTION,ESIM Migration 1000005295,1548.0
2002 App No. 13 Pine Pass Replacement,2002 App No. 13 Pine Pass Replacement,2002-11-21 Section 58 Application No. 13 - Pine Pass Replacement Project,247886.0
2002 Construction No. 2 - Crowsnest Valve Shelter,2002 Construction No. 2 - Crowsnest Valve Shelter,02-07-30 - 2002 Construction No. 2 - Crowsnest Valve Shelter,228127.0
2002 Corrosion Remedial Construction Program in On,2002 Corrosion Remedial Construction Program in On,ESIM Migration 1000029764,2464.0
2002 Corrosion Remedial Construction Program in Sa,2002 Corrosion Remedial Construction Program in Sa,2002 Corrosion Remedial Construction Program in Saskatchewan,226941.0
2002 Ontario Cathodic Protection Program,2002 Ontario Cathodic Protection Program,2002-10-28 Application for 2002 Construction - No. 11 - 2002 Ontario Cathodic Protection Program,244310.0
2002 Section 58 No. 14 - Project U0522,2002 Section 58 No. 14 - Project U0522,2002-07-23 Section 58  Application No. 14,226647.0
2003 Application No. 9,2003 Application No. 9,2003-07-28 - 2003 Application No. 9 - Project S0676 for the Replacement of the Liquid Sulphur Storage Tank at McMahon Gas Plant,287228.0
2003 Construction No. 18,2003 Construction No. 18,2003-07-24 - 2003 Construction No. 18 - 2003 Cathotic Protection Program No. 4 - Saskatchewan Great Sands Area,286757.0
2003 Construction No. 19,2003 Construction No. 19,2003-07-25 - 2003 Construction No. 19 - Decommissioning of an Auxiliary Building and Compressor Plant at Station 13,286855.0
2003 Construction No. 20,2003 Construction No. 20,2003-08-14 - 2003 Construction No. 20 - 2003 Cathotic Protection Program No. 5 - Saskatchewan,288043.0
2003 Construction No. 21,2003 Construction No. 21,2003-09-15 - 2003 Construction No. 21 - 2003 Cathotic Protection Program No. 7 - Ontario,293538.0
2003 No. 2 - Install Permanent Launcher/Receivers,2003 No. 2 - Install Permanent Launcher/Receivers,2002-12-05 Application for 2003 Construction No. 2 - Install Permanent Launcher/Receivers,252843.0
2003 S.58 Applicaiton No. 10,2003 S.58 Applicaiton No. 10,2003-08-05 - 2003 Application No. 10 - Project 10048714 - Revetment Tributary to Rancheree Lake 4AL1 km 29.480,287409.0
2003 S.58 Application No. 1,2003 S.58 Application No. 1,ESIM Migration 1000032578,2672.0
2003 S58 Application No. 17,2003 S58 Application No. 17,2003-07-14 - 2003 Construction No. 17 - 2003 Cathotic Protection Program No. 3 - Manitoba and Ontario,286030.0
2003 Sask. Cathodic Protection Program (No. 1),2003 Sask. Cathodic Protection Program (No. 1),2003-02-26 Application for 2003 Construction No. 6 - 2003 Saskatchewan Cathodic Protection Program (No. 1),266686.0
