id,e,f
1,Other,Autre
2,Petroleum Hydrocarbons (PHC),Hydrocarbures pétroliers (« HCP »)
3,Polycyclic Aromatic Hydrocarbons (PAH),Hydrocarbures aromatiques polycycliques (« HAP »)
4,"Benzene, Toluene, Ethylbenzene, Xylenes (BTEX)","Benzène, toluène, ethylbenzène et xylène (« BTEX »)"
5,Volatile Organic Compounds (VOC) other than BTEX,Composés organiques volatils (« COV ») autres que les BTEX
6,Semi-volatile Organic Compounds (SVOC),Composés organiques semi-volatils
7,Salts,Sels
8,Methyl Tertiary Butyl Ether (MTBE),Éther tert-butylique méthylique (« ETBM »)
9,Polychlorinated Biphenyls (PCB),Biphényles polychlorés (« BPC »)
10,Metals,Métaux
11,Glycol,Glycol
12,Amine,Amine
13,Phenols,Phénols
14,Sulphur,Soufre
15,Pesticide / Herbicide,Pesticides et herbicides
16,Light Non-aqueous Phase Liquid (LNAPL),Liquide immiscible léger
17,Dense Non-aqueous Phase Liquid (DNAPL),Liquide immiscible dense
