Company,Old Events
Enbridge Pipelines Inc.,125
"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",96
NOVA Gas Transmission Ltd.,68
TransCanada PipeLines Limited,66
Trans Mountain Pipeline ULC,51
Trans-Northern Pipelines Inc.,23
Enbridge Pipelines (NW) Inc.,6
TEML Westspur Pipelines Limited,4
TransCanada Keystone Pipeline GP Ltd.,3
"Express Pipeline Ltd., as the general partner of Express Holdings (Canada) Limited Partnership",3
Tundra Energy Marketing Limited,2
Imperial Oil Resources Limited,2
Imperial Oil Resources N.W.T. Limited,2
Maritimes & Northeast Pipeline Management Ltd.,1
Montreal Pipe Line Limited,1
ConocoPhillips Canada Limited,1
Ethane Shippers Joint Venture,1
Foothills Pipe Lines Ltd.,1
Plains Midstream Canada ULC,1
Yukon Pipelines Limited,1
