Date,Path,Total Contracted Quantity (GJ),Folder Link,Download Link
2016-01-01,Chippawa to Kirkwall,94198.0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Chippawa to Union SWDA,1437687.0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Centram MDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Centrat MDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to East Hereford,37800.0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Emerson 1,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Emerson 2,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Enbridge CDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Enbridge EDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to GMIT EDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Iroquois,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to KPUC EDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Napierville,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Union CDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Union EDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Union NDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Empress to Union SWDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Niagara Falls to Kirkwall,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-01-01,Niagara Falls to Union SWDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-02-01,Chippawa to Kirkwall,105067.0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-02-01,Chippawa to Union SWDA,1344933.0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-02-01,Empress to Centram MDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
2016-02-01,Empress to Centrat MDA,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/2957579,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2958134
