Date,Pipeline Name,KeyPointID,Direction of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d)
2006-01-01,Alliance,KP0002,southeast,export,51859.5484,49276.8194
2006-02-01,Alliance,KP0002,southeast,export,51753.813,48068.4106
2006-03-01,Alliance,KP0002,southeast,export,51017.8508,48857.0837
2006-04-01,Alliance,KP0002,southeast,export,49940.9695,47770.9332
2006-05-01,Alliance,KP0002,southeast,export,48721.8896,46605.1299
2006-06-01,Alliance,KP0002,southeast,export,47778.0613,45556.0569
2006-07-01,Alliance,KP0002,southeast,export,47287.8895,45476.5547
2006-08-01,Alliance,KP0002,southeast,export,47422.3761,45219.5195
2006-09-01,Alliance,KP0002,southeast,export,48117.3017,43741.2965
2006-10-01,Alliance,KP0002,southeast,export,49232.3118,45952.5291
2006-11-01,Alliance,KP0002,southeast,export,50403.9791,44936.0566
2006-12-01,Alliance,KP0002,southeast,export,51386.3269,47134.2535
2007-01-01,Alliance,KP0002,southeast,export,51859.5484,48702.532
2007-02-01,Alliance,KP0002,southeast,export,51748.5692,49345.5781
2007-03-01,Alliance,KP0002,southeast,export,51017.8508,49255.6934
2007-04-01,Alliance,KP0002,southeast,export,49940.9695,47042.0499
2007-05-01,Alliance,KP0002,southeast,export,48730.6142,46755.2356
2007-06-01,Alliance,KP0002,southeast,export,47778.0613,44943.1999
2007-07-01,Alliance,KP0002,southeast,export,47291.0267,45226.0446
2007-08-01,Alliance,KP0002,southeast,export,47422.3761,45011.0064
2007-09-01,Alliance,KP0002,southeast,export,48117.3017,44729.8737
2007-10-01,Alliance,KP0002,southeast,export,49232.3118,44596.4162
2007-11-01,Alliance,KP0002,southeast,export,50403.9791,45566.9132
2007-12-01,Alliance,KP0002,southeast,export,51384.4445,45718.7773
2008-01-01,Alliance,KP0002,southeast,export,51859.5484,48411.5418
2008-02-01,Alliance,KP0002,southeast,export,51745.2839,49706.7548
2008-03-01,Alliance,KP0002,southeast,export,51017.8508,49507.9934
2008-04-01,Alliance,KP0002,southeast,export,49940.9695,47339.1296
2008-05-01,Alliance,KP0002,southeast,export,48730.6142,47636.8775
2008-06-01,Alliance,KP0002,southeast,export,47787.6659,44727.1798
2008-07-01,Alliance,KP0002,southeast,export,47287.8895,46212.6094
2008-08-01,Alliance,KP0002,southeast,export,47422.3761,44641.3935
2008-09-01,Alliance,KP0002,southeast,export,48117.3017,44299.7603
2008-10-01,Alliance,KP0002,southeast,export,49231.1027,45604.9535
2008-11-01,Alliance,KP0002,southeast,export,50403.9791,45451.86
2008-12-01,Alliance,KP0002,southeast,export,51384.4445,47438.9288
2009-01-01,Alliance,KP0002,southeast,export,51859.1615,48680.1899
2009-02-01,Alliance,KP0002,southeast,export,51753.813,48780.1323
2009-03-01,Alliance,KP0002,southeast,export,51017.8508,49236.8697
2009-04-01,Alliance,KP0002,southeast,export,49940.9695,45447.1818
2009-05-01,Alliance,KP0002,southeast,export,48730.6142,47057.8862
2009-06-01,Alliance,KP0002,southeast,export,47767.3648,45682.1232
2009-07-01,Alliance,KP0002,southeast,export,47287.8895,44742.6224
2009-08-01,Alliance,KP0002,southeast,export,47422.3761,45796.2719
2009-09-01,Alliance,KP0002,southeast,export,48117.3017,44971.0289
2009-10-01,Alliance,KP0002,southeast,export,49232.3118,43860.4709
2009-11-01,Alliance,KP0002,southeast,export,50403.9791,45649.2273
2009-12-01,Alliance,KP0002,southeast,export,51373.2193,44946.4458
2010-01-01,Alliance,KP0002,southeast,export,51859.5484,48494.8967
2010-02-01,Alliance,KP0002,southeast,export,51753.813,48959.9842
2010-03-01,Alliance,KP0002,southeast,export,51017.8508,48147.9019
2010-04-01,Alliance,KP0002,southeast,export,49940.9695,45054.612
2010-05-01,Alliance,KP0002,southeast,export,48730.6142,47207.7019
2010-06-01,Alliance,KP0002,southeast,export,47778.0613,46028.7014
2010-07-01,Alliance,KP0002,southeast,export,47287.8895,46741.3683
2010-08-01,Alliance,KP0002,southeast,export,47418.5766,45749.0993
2010-09-01,Alliance,KP0002,southeast,export,48117.3017,44977.8948
2010-10-01,Alliance,KP0002,southeast,export,49232.3118,45585.0289
2010-11-01,Alliance,KP0002,southeast,export,50417.5297,46554.3016
2010-12-01,Alliance,KP0002,southeast,export,51384.4445,47085.7467
2011-01-01,Alliance,KP0002,southeast,export,51859.5484,49114.1139
2011-02-01,Alliance,KP0002,southeast,export,51753.813,49341.1339
2011-03-01,Alliance,KP0002,southeast,export,51017.8508,48473.7166
2011-04-01,Alliance,KP0002,southeast,export,49940.9695,45363.0206
2011-05-01,Alliance,KP0002,southeast,export,48716.5676,45060.8185
2011-06-01,Alliance,KP0002,southeast,export,47778.0613,41867.1021
2011-07-01,Alliance,KP0002,southeast,export,47287.8895,42287.5349
2011-08-01,Alliance,KP0002,southeast,export,47422.3761,45064.3851
2011-09-01,Alliance,KP0002,southeast,export,48117.3017,43079.8404
2011-10-01,Alliance,KP0002,southeast,export,49232.3118,43160.0485
2011-11-01,Alliance,KP0002,southeast,export,50403.9791,45535.9798
2011-12-01,Alliance,KP0002,southeast,export,51384.4445,47242.2392
2012-01-01,Alliance,KP0002,southeast,export,51859.5484,47476.6396
2012-02-01,Alliance,KP0002,southeast,export,51745.2839,47766.1173
2012-03-01,Alliance,KP0002,southeast,export,51017.8508,46846.7297
2012-04-01,Alliance,KP0002,southeast,export,49938.7409,43094.8528
2012-05-01,Alliance,KP0002,southeast,export,48730.6142,46297.6694
2012-06-01,Alliance,KP0002,southeast,export,47789.5242,43769.4665
2012-07-01,Alliance,KP0002,southeast,export,47287.8895,45089.8586
2012-08-01,Alliance,KP0002,southeast,export,47422.3761,42427.4851
2012-09-01,Alliance,KP0002,southeast,export,48117.3017,42685.1202
2012-10-01,Alliance,KP0002,southeast,export,49287.6276,41856.2351
2012-11-01,Alliance,KP0002,southeast,export,50403.9791,43193.3204
2012-12-01,Alliance,KP0002,southeast,export,51384.4445,47266.9657
2013-01-01,Alliance,KP0002,southeast,export,51859.5484,48117.3662
2013-02-01,Alliance,KP0002,southeast,export,51753.813,48729.4396
2013-03-01,Alliance,KP0002,southeast,export,51017.8508,45226.919
2013-04-01,Alliance,KP0002,southeast,export,49940.9695,44003.0046
2013-05-01,Alliance,KP0002,southeast,export,48730.6142,44743.5236
2013-06-01,Alliance,KP0002,southeast,export,47787.6659,45782.2843
2013-07-01,Alliance,KP0002,southeast,export,47287.8895,44307.0367
2013-08-01,Alliance,KP0002,southeast,export,47422.3761,44553.4646
2013-09-01,Alliance,KP0002,southeast,export,48117.3017,43324.4566
2013-10-01,Alliance,KP0002,southeast,export,49232.3118,42721.5784
2013-11-01,Alliance,KP0002,southeast,export,50403.9791,45197.2592
2013-12-01,Alliance,KP0002,southeast,export,51384.4445,47649.8954
2014-01-01,Alliance,KP0002,southeast,export,51859.5484,47388.0165
2014-02-01,Alliance,KP0002,southeast,export,51748.3892,47796.94
2014-03-01,Alliance,KP0002,southeast,export,51017.8508,48147.6227
