Date,Pipeline Name,KeyPointID,Direction of Flow,Product,Throughput (1000 m3/d),Available Capacity (1000 m3/d)
2014-07-01,Cochin,KP0018,west,condensate,0.53,15.1
2014-08-01,Cochin,KP0018,west,condensate,0.58,15.1
2014-09-01,Cochin,KP0018,west,condensate,10.9,15.1
2014-10-01,Cochin,KP0018,west,condensate,11.33,15.1
2014-11-01,Cochin,KP0018,west,condensate,10.22,15.1
2014-12-01,Cochin,KP0018,west,condensate,13.11,15.1
2015-01-01,Cochin,KP0018,west,condensate,12.89,15.1
2015-02-01,Cochin,KP0018,west,condensate,13.08,15.1
2015-03-01,Cochin,KP0018,west,condensate,12.67,15.1
2015-04-01,Cochin,KP0018,west,condensate,13.77,15.1
2015-05-01,Cochin,KP0018,west,condensate,13.02,15.1
2015-06-01,Cochin,KP0018,west,condensate,11.41,15.1
2015-07-01,Cochin,KP0018,west,condensate,13.31,15.1
2015-08-01,Cochin,KP0018,west,condensate,13.11,15.1
2015-09-01,Cochin,KP0018,west,condensate,13.41,15.1
2015-10-01,Cochin,KP0018,west,condensate,13.0,15.1
2015-11-01,Cochin,KP0018,west,condensate,12.02,15.1
2015-12-01,Cochin,KP0018,west,condensate,11.78,15.1
2016-01-01,Cochin,KP0018,west,condensate,14.7,15.1
2016-02-01,Cochin,KP0018,west,condensate,11.46,15.1
2016-03-01,Cochin,KP0018,west,condensate,10.96,15.1
2016-04-01,Cochin,KP0018,west,condensate,13.07,15.1
2016-05-01,Cochin,KP0018,west,condensate,13.23,15.1
2016-06-01,Cochin,KP0018,west,condensate,14.4,15.1
2016-07-01,Cochin,KP0018,west,condensate,12.39,15.1
2016-08-01,Cochin,KP0018,west,condensate,14.41,15.1
2016-09-01,Cochin,KP0018,west,condensate,13.35,14.34
2016-10-01,Cochin,KP0018,west,condensate,14.17,15.1
2016-11-01,Cochin,KP0018,west,condensate,13.35,15.1
2016-12-01,Cochin,KP0018,west,condensate,15.0,15.1
2017-01-01,Cochin,KP0018,west,condensate,13.74,15.1
2017-02-01,Cochin,KP0018,west,condensate,9.85,15.1
2017-03-01,Cochin,KP0018,west,condensate,13.81,15.1
2017-04-01,Cochin,KP0018,west,condensate,15.99,15.1
2017-05-01,Cochin,KP0018,west,condensate,14.71,15.1
2017-06-01,Cochin,KP0018,west,condensate,14.33,15.1
2017-07-01,Cochin,KP0018,west,condensate,14.53,15.1
2017-08-01,Cochin,KP0018,west,condensate,14.54,15.1
2017-09-01,Cochin,KP0018,west,condensate,10.77,15.1
2017-10-01,Cochin,KP0018,west,condensate,13.93,15.1
2017-11-01,Cochin,KP0018,west,condensate,14.53,15.1
2017-12-01,Cochin,KP0018,west,condensate,12.7,15.1
2018-01-01,Cochin,KP0018,west,condensate,12.66,15.1
2018-02-01,Cochin,KP0018,west,condensate,12.89,15.1
2018-03-01,Cochin,KP0018,west,condensate,15.01,15.1
2018-04-01,Cochin,KP0018,west,condensate,14.92,15.1
2018-05-01,Cochin,KP0018,west,condensate,12.6,15.1
2018-06-01,Cochin,KP0018,west,condensate,14.69,15.1
2018-07-01,Cochin,KP0018,west,condensate,15.18,15.1
2018-08-01,Cochin,KP0018,west,condensate,14.42,15.1
2018-09-01,Cochin,KP0018,west,condensate,9.53,15.1
2018-10-01,Cochin,KP0018,west,condensate,13.82,15.1
2018-11-01,Cochin,KP0018,west,condensate,8.78,15.1
2018-12-01,Cochin,KP0018,west,condensate,12.92,15.1
2019-01-01,Cochin,KP0018,west,condensate,14.39,15.1
2019-02-01,Cochin,KP0018,west,condensate,14.18,15.1
2019-03-01,Cochin,KP0018,west,condensate,13.52,15.1
2019-04-01,Cochin,KP0018,west,condensate,15.08,15.1
2019-05-01,Cochin,KP0018,west,condensate,16.23,15.1
2019-06-01,Cochin,KP0018,west,condensate,13.51,15.1
2019-07-01,Cochin,KP0018,west,condensate,14.03,15.1
2019-08-01,Cochin,KP0018,west,condensate,16.0,15.1
2019-09-01,Cochin,KP0018,west,condensate,15.62,15.1
2019-10-01,Cochin,KP0018,west,condensate,13.8,15.1
2019-11-01,Cochin,KP0018,west,condensate,15.12,15.1
2019-12-01,Cochin,KP0018,west,condensate,15.38,15.1
2020-01-01,Cochin,KP0018,west,condensate,13.89,15.1
2020-02-01,Cochin,KP0018,west,condensate,15.89,15.1
2020-03-01,Cochin,KP0018,west,condensate,15.61,15.1
2020-04-01,Cochin,KP0018,west,condensate,10.98,15.1
2020-05-01,Cochin,KP0018,west,condensate,9.3,15.1
