PipelineID,id,s,e
Alliance,2005 Final,2005-01-01,2005-12-31
Alliance,2006 Final,2006-01-01,2006-12-31
Alliance,2007 Final,2007-01-01,2007-12-31
Alliance,2008 Final,2008-01-01,2008-12-31
Alliance,2009 Final,2009-01-01,2009-12-31
Alliance,2010 Final,2010-01-01,2010-12-31
Alliance,2011 Final,2011-01-01,2011-12-31
Alliance,2012 Final,2012-01-01,2012-12-31
Alliance,2013 Final,2013-01-01,2013-12-31
Alliance,2014 Final,2014-01-01,2014-12-31
Alliance,2015 Final,2015-01-01,2015-11-30
Alliance,2016 Final,2015-12-01,2016-10-31
Alliance,2017 Final,2016-11-01,2017-10-31
Alliance,2018 Final,2017-11-01,2018-10-31
Alliance,2019 Final,2018-11-01,2019-10-31
Alliance,2020 Final,2019-11-01,2020-10-31
Alliance,2021 Final,2020-11-01,2021-10-31
Alliance,2022 Final,2021-11-01,2022-10-31
Aurora,Tariff 10,2018-01-01,2018-09-15
Aurora,Tariff 12,2018-09-16,2018-12-31
Aurora,Tariff 14,2019-01-01,2019-12-31
Aurora,Tariff 16,2020-01-01,2020-12-31
Aurora,Tariff 17,2021-01-01,2021-12-31
Aurora,Tariff 3,2009-01-01,2012-12-31
Aurora,Tariff 5,2013-01-01,2014-12-31
Aurora,Tariff 7,2015-01-01,2017-12-31
Brunswick,2009 Final,2009-07-16,2014-07-15
Brunswick,2014 Final,2014-07-16,2024-07-15
Brunswick,2024 Final,2024-07-16,2034-07-15
Cochin,Tariff 166,2014-04-01,2014-12-31
Cochin,Tariff 167,2014-09-01,2014-12-31
Cochin,Tariff 172,2015-01-01,2015-06-30
Cochin,Tariff 173,2015-01-01,2015-06-30
Cochin,Tariff 174,2015-07-01,2016-06-30
Cochin,Tariff 175,2015-07-01,2015-12-31
Cochin,Tariff 179,2016-01-01,2016-06-30
Cochin,Tariff 180,2016-07-01,2017-01-31
Cochin,Tariff 181,2016-07-01,2017-01-31
Cochin,Tariff 185,2017-02-01,2017-02-20
Cochin,Tariff 187,2017-02-21,2017-03-12
Cochin,Tariff 188,2017-02-01,2017-04-30
Cochin,Tariff 189,2017-03-13,2017-06-30
Cochin,Tariff 190,2017-05-01,2017-06-30
Cochin,Tariff 193,2017-07-01,2018-06-01
Cochin,Tariff 194,2017-07-01,2018-06-30
Cochin,Tariff 197,2018-03-01,2018-06-30
Cochin,Tariff 201,2018-07-01,2019-05-27
Cochin,Tariff 202,2018-07-01,2019-01-31
Cochin,Tariff 203,2018-07-01,2019-05-27
Cochin,Tariff 205,2018-07-20,2021-12-31
Cochin,Tariff 206,2019-02-01,2019-05-27
Cochin,Tariff 207,2019-02-01,2019-05-27
Cochin,Tariff 208,2019-05-28,2019-06-30
Cochin,Tariff 209,2019-05-28,2019-06-30
Cochin,Tariff 210,2019-05-28,2019-06-30
Cochin,Tariff 211,2019-05-28,2019-06-30
Cochin,Tariff 216,2019-07-01,2020-01-14
Cochin,Tariff 217,2019-07-01,2020-01-14
Cochin,Tariff 218,2019-07-01,2020-01-14
Cochin,Tariff 219,2019-07-01,2020-01-14
Cochin,Tariff 221,2020-01-15,2020-06-30
Cochin,Tariff 222,2020-01-15,2020-04-12
Cochin,Tariff 223,2020-01-15,2020-06-30
Cochin,Tariff 224,2020-01-15,2020-06-30
Cochin,Tariff 226,2020-04-13,2020-06-30
Cochin,Tariff 227,2020-07-01,2021-06-30
Cochin,Tariff 228,2020-07-01,2021-06-30
Cochin,Tariff 229,2020-07-01,2021-06-30
Cochin,Tariff 230,2020-07-01,2021-06-30
Cochin,Tariff 232,2021-07-01,2021-12-31
Cochin,Tariff 233,2021-07-01,2021-12-31
Cochin,Tariff 234,2021-07-01,2021-12-31
Cochin,Tariff 235,2021-07-01,2021-12-31
EnbridgeBakken,Tariff 10,2014-02-09,2014-06-30
EnbridgeBakken,Tariff 13,2014-07-01,2014-12-31
EnbridgeBakken,Tariff 15,2015-01-01,2015-03-31
EnbridgeBakken,Tariff 17,2015-04-01,2015-06-30
EnbridgeBakken,Tariff 21,2015-07-01,2016-06-30
EnbridgeBakken,Tariff 23,2016-07-01,2017-06-30
EnbridgeBakken,Tariff 25,2017-07-01,2018-03-31
EnbridgeBakken,Tariff 27,2018-04-01,2018-06-30
EnbridgeBakken,Tariff 29,2018-07-01,2019-06-30
EnbridgeBakken,Tariff 3,2013-01-15,2013-01-30
EnbridgeBakken,Tariff 31,2019-07-01,2019-12-31
EnbridgeBakken,Tariff 33,2020-01-01,2020-06-30
EnbridgeBakken,Tariff 35,2020-07-01,2021-06-30
EnbridgeBakken,Tariff 38,2021-07-01,2021-12-31
EnbridgeBakken,Tariff 4,2013-01-31,2013-02-28
EnbridgeBakken,Tariff 5,2013-03-01,2013-06-30
EnbridgeBakken,Tariff 7,2013-07-01,2014-02-08
EnbridgeFSP,Tariff 353,2014-12-01,2014-12-31
EnbridgeFSP,Tariff 359,2015-01-01,2015-03-31
