Table,Column,English,French
Tolls,Product,all,tous
Tolls,Product,boundary lake crude,région de boundary lake
Tolls,Product,cnd,cnd
Tolls,Product,condensate,condensats
Tolls,Product,crude oil,pétrole brut
Tolls,Product,crude oil and condensate,pétrole brut et condensats
Tolls,Product,crude petroleum,pétrole brut
Tolls,Product,crude/condensate,pétrole brut/condensats
Tolls,Product,diluent,diluants
Tolls,Product,ethane plus,éthane plus
Tolls,Product,ethane,éthane
Tolls,Product,heavy,lourd
Tolls,Product,heavy crude,pétrole brut lourd
Tolls,Product,heavy petroleum,pétrole lourd
Tolls,Product,high sulphur ethane,éthane à haute teneur en soufre
Tolls,Product,light,léger
Tolls,Product,light condensate,condensats légers
Tolls,Product,light crude,pétrole brut léger
Tolls,Product,light petroleum,pétrole léger
Tolls,Product,light sweet crude,pétrole non corrosif léger
Tolls,Product,medium,moyen
Tolls,Product,medium crude,pétrole brut moyen
Tolls,Product,medium petroleum,pétrole moyen
Tolls,Product,natural gas,gaz naturel
Tolls,Product,natural gas liquids,liquides de gaz naturel
Tolls,Product,NGL,liquides de gaz naturel
Tolls,Product,ngl,liquides de gaz naturel
Tolls,Product,None,Rien
Tolls,Product,petroleum,hydrocarbures
Tolls,Product,propane and butane,propane et butane
Tolls,Product,propane plus,propane plus
Tolls,Product,refined petroleum products,produits pétroliers raffinés
Tolls,Product,sour ethane,éthane corrosif
Tolls,Product,super heavy,extra lourd
Tolls,Product,super heavy petroleum,pétrole extra lourd
Tolls,Product,super light,super léger
Tolls,Product,super light petroleum,pétrole super léger
Tolls,Receipt Point,05-01-16 W2M (BV9),05-01-16 W2M (BV9)
Tolls,Receipt Point,"Alida, Secure","Alida, Secure"
Tolls,Receipt Point,Alida Terminal,Terminal Alida
Tolls,Receipt Point,All,Tous
Tolls,Receipt Point,All Zones,Toutes les zones
Tolls,Receipt Point,Altagas Gordondale,Altagas Gordondale
Tolls,Receipt Point,Altagas Holdings Fort St. John,Altagas Holdings Fort St. John
Tolls,Receipt Point,Altagas Holdings Younger,Altagas Holdings Younger
Tolls,Receipt Point,ARC Dawson Creek 13-07,ARC Dawson Creek 13-07
Tolls,Receipt Point,ARC Towerlake 03-09,ARC Towerlake 03-09
Tolls,Receipt Point,Bayhurst 1,Bayhurst 1
Tolls,Receipt Point,Bayhurst 1-2,Bayhurst 1-2
Tolls,Receipt Point,Bayhurst 2,Bayhurst 2
Tolls,Receipt Point,"Berthold, Ward County, North Dakota","Berthold, Ward County, Dakota du Nord"
Tolls,Receipt Point,Boundary Lake south 06-09,Boundary Lake south 06-09
Tolls,Receipt Point,Boundary Lake south 08-11,Boundary Lake south 08-11
Tolls,Receipt Point,Bryant Injection Point,Point d’injection Bryant
Tolls,Receipt Point,Calstock NDA,ZLN de Calstock
Tolls,Receipt Point,CA/US border,Frontière canado-américaine
Tolls,Receipt Point,Centram MDA,ZLM de Centram
Tolls,Receipt Point,Centram SSDA,ZLSS de Centram
Tolls,Receipt Point,Centrat MDA,ZLM de Centrat
Tolls,Receipt Point,Chippawa,Chippawa
Tolls,Receipt Point,"Clarkson, Ontario","Clarkson, Ontario"
Tolls,Receipt Point,"Clinton, Iowa","Clinton, Iowa"
Tolls,Receipt Point,"Cochin Terminal in Kankakee County, Illinois","Terminal Cochin, Kankakee County, Illinois"
Tolls,Receipt Point,Connection with Rangeland Pipeline,Raccordement au pipeline Rangeland
Tolls,Receipt Point,Cornwall,Cornwall
Tolls,Receipt Point,"Corunna or Sarnia Terminal, Ontario","Terminal de Sarnia ou de Corunna, Ontario"
Tolls,Receipt Point,"Cromer Terminal, Manitoba","Terminal Cromer, Manitoba"
Tolls,Receipt Point,"Cromer, Manitoba","Cromer, Manitoba"
Tolls,Receipt Point,Dawn,Dawn
Tolls,Receipt Point,Dow Storage,Installation de stockage Dow
Tolls,Receipt Point,East Hereford,East Hereford
Tolls,Receipt Point,ECA Towerlake 03-07,ECA Towerlake 03-07
Tolls,Receipt Point,Edmonton,Edmonton
Tolls,Receipt Point,"Edmonton Terminal, Alberta","Terminal Edmonton, Alberta"
Tolls,Receipt Point,"Edmonton, Alberta","Edmonton, Alberta"
Tolls,Receipt Point,"EDS Delivery Point, Corunna, Lambton County, Ontario","Point de livraison du réseau de livraison de l’Est, Corunna, comté de Lambton, Ontario"
Tolls,Receipt Point,Edson,Edson
Tolls,Receipt Point,Emerson 1,Emerson 1
Tolls,Receipt Point,Emerson 2,Emerson 2
Tolls,Receipt Point,Empress,Empress
Tolls,Receipt Point,Enbridge CDA,ZLC d’Enbridge
Tolls,Receipt Point,Enbridge CDA (Amended),ZLC d’Union (modifiée)
Tolls,Receipt Point,Enbridge EDA,ZLE d’Enbridge
Tolls,Receipt Point,Enbridge Parkway CDA,ZLC d’Enbridge Parkway
Tolls,Receipt Point,Energir EDA,ZLE d’Energir
Tolls,Receipt Point,Energir NDA,ZLN d’Enbridge
Tolls,Receipt Point,GMIT EDA,ZLE de GMIT
Tolls,Receipt Point,GMIT NDA,ZLN de GMIT
Tolls,Receipt Point,Gordondale Gas Plant,Usine de champ gazier de Gordondale
Tolls,Receipt Point,Gordondale Truck Terminal,Terminal de camions de Gordondale
Tolls,Receipt Point,Grand Coulee,Grand Coulee
Tolls,Receipt Point,Grand Coulee West,Grand Coulee West
Tolls,Receipt Point,"Hardisty Terminal, Alberta","Terminal Hardisty, Alberta"
Tolls,Receipt Point,"Hardisty, Alberta","Hardisty, Alberta"
Tolls,Receipt Point,Herbert,Herbert
Tolls,Receipt Point,"International Border, near Sarnia, Ontario","Frontière internationale, près de Sarnia, Ontario"
Tolls,Receipt Point,"International Boundary (Highwater, Quebec)","Frontière internationale, Highwater, Québec"
Tolls,Receipt Point,"International Boundary near Gretna, Manitoba","Frontière internationale, près de Gretna, Manitoba"
Tolls,Receipt Point,"International Boundary near Sarnia, Ontario","Frontière internationale, près de Sarnia, Ontario"
Tolls,Receipt Point,"International Boundary near Alameda, Saskatchewan","Frontière internationale, près de Alameda, Saskatchewan"
Tolls,Receipt Point,Iroquois,Iroquois
Tolls,Receipt Point,Kamloops,Kamloops
Tolls,Receipt Point,"Kerrobert Station, Saskatchewan","Terminal Kerrobert, Saskatchewan"
Tolls,Receipt Point,"Kerrobert, Saskatchewan","Kerrobert, Saskatchewan"
Tolls,Receipt Point,"Kilometre Post 839.2, Alberta","Borne kilométrique 839,2, Alberta"
Tolls,Receipt Point,Kirkwall,Kirkwall
Tolls,Receipt Point,KPUC EDA,ZLE de KPUC
Tolls,Receipt Point,Lachenaie,Lachenaie
Tolls,Receipt Point,LGS Pipeline,Gazoduc LGS
Tolls,Receipt Point,Liebenthal,Liebenthal
Tolls,Receipt Point,"Maxbass, North Dakota","Maxbass, Dakota du Nord"
Tolls,Receipt Point,Midale Terminal,Terminal Midale
