Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released (m³),Substance,Release Type,Significant,Year,What Happened,Why It Happened
INC2009-039,Release of Substance,2009-05-07,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,53.63705,-112.01828,,Natural Gas - Sweet,Gas,No,2009,Defect and Deterioration,Standards and Procedures
INC2009-041,Release of Substance,2009-05-11,Valleyview,Alberta,NOVA Gas Transmission Ltd.,Closed,54.93272,-117.25214,,Natural Gas - Sweet,Gas,No,2009,Corrosion and Cracking,Maintenance
INC2009-048,Release of Substance,2009-05-27,Wandering River,Alberta,NOVA Gas Transmission Ltd.,Closed,55.67738,-112.18288,,Natural Gas - Sweet,Gas,No,2009,Defect and Deterioration,Maintenance
INC2009-049,Release of Substance,2009-06-03,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,53.63705,-112.01829,,Natural Gas - Sweet,Gas,No,2009,Corrosion and Cracking,Standards and Procedures
INC2009-058,"Fire, Release of Substance",2009-07-05,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,51.728528,-111.6805,17000.0,Natural Gas - Sweet,Gas,No,2009,External Interference,Maintenance
INC2009-063,Release of Substance,2009-07-15,Smokey Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,54.09552,-112.31043,,Natural Gas - Sweet,Gas,No,2009,Equipment Failure,Maintenance
INC2009-065,Fire,2009-07-16,Wainwright,Alberta,NOVA Gas Transmission Ltd.,Closed,52.75424,-110.74467,,Not Applicable,Not Applicable,No,2009,External Interference,Standards and Procedures
INC2009-066,"Fire, Release of Substance",2009-07-20,Hay River,Alberta,NOVA Gas Transmission Ltd.,Closed,58.208389,-118.501722,1450000.0,Natural Gas - Sweet,Gas,Yes,2009,Corrosion and Cracking,"Maintenance, Tools and Equipment"
INC2009-068,Release of Substance,2009-07-21,Crowsnest Pass,Alberta,NOVA Gas Transmission Ltd.,Closed,49.62622,-114.51601,,Natural Gas - Sweet,Gas,No,2009,"Defect and Deterioration, Equipment Failure","Inadequate Supervision, Maintenance, Tools and Equipment"
INC2009-075,Release of Substance,2009-07-31,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,55.12549,-117.83828,40.0,Natural Gas - Sweet,Gas,No,2009,Equipment Failure,Maintenance
INC2009-076,Release of Substance,2009-08-04,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.58571,-116.43392,2.9,Natural Gas - Sweet,Gas,No,2009,Defect and Deterioration,Maintenance
INC2009-086,Release of Substance,2009-09-02,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,51.66911,-111.89811,0.5,Natural Gas - Sweet,Gas,No,2009,Equipment Failure,Maintenance
INC2009-087,Release of Substance,2009-09-02,Zama Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,59.05953,-119.89276,10.0,Natural Gas - Sweet,Gas,No,2009,Corrosion and Cracking,Tools and Equipment
INC2009-090,Release of Substance,2009-09-04,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.8308,-118.64572,100.0,Fuel Gas,Gas,No,2009,Equipment Failure,Maintenance
INC2009-102,Release of Substance,2009-09-18,Fairview,Alberta,NOVA Gas Transmission Ltd.,Closed,56.36855,-119.92869,,Natural Gas - Sweet,Gas,No,2009,Defect and Deterioration,Maintenance
INC2009-104,Release of Substance,2009-09-20,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,53.96117,-116.46306,63000.0,Natural Gas - Sweet,Gas,Yes,2009,External Interference,Maintenance
INC2009-118,Release of Substance,2009-10-20,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,51.66922,-111.89792,,Natural Gas - Sweet,Gas,No,2009,Equipment Failure,Maintenance
INC2009-120,Release of Substance,2009-10-23,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,54.0438,-117.42069,,Natural Gas - Sweet,Gas,No,2009,Equipment Failure,"Engineering and Planning, Maintenance"
INC2009-126,Release of Substance,2009-11-04,Fairview,Alberta,NOVA Gas Transmission Ltd.,Closed,56.03467,-117.96587,,Natural Gas - Sweet,Gas,No,2009,Defect and Deterioration,Maintenance
INC2009-140,Fire,2009-12-16,Drayton Valley,Alberta,NOVA Gas Transmission Ltd.,Closed,53.10063,-115.3622,,Not Applicable,Not Applicable,No,2009,Equipment Failure,Maintenance
INC2009-141,Operation Beyond Design Limits,2009-12-11,Olds,Alberta,NOVA Gas Transmission Ltd.,Closed,51.85163,-114.07574,,Not Applicable,Not Applicable,No,2009,Incorrect Operation,Standards and Procedures
INC2009-144,Operation Beyond Design Limits,2009-12-17,Tieland,Alberta,NOVA Gas Transmission Ltd.,Closed,54.79071,-114.04358,,Not Applicable,Not Applicable,No,2009,Incorrect Operation,Inadequate Supervision
INC2009-145,Release of Substance,2009-12-17,Topland,Alberta,NOVA Gas Transmission Ltd.,Closed,54.54693,-114.79252,,Natural Gas - Sour,Gas,Yes,2009,Equipment Failure,Maintenance
INC2009-147,Operation Beyond Design Limits,2010-01-04,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,58.44704,-119.22409,,Not Applicable,Not Applicable,No,2010,Equipment Failure,Maintenance
INC2010-001,Release of Substance,2010-01-06,Fort St. John,Alberta,NOVA Gas Transmission Ltd.,Closed,56.367553,-119.931713,125000.0,Natural Gas - Sweet,Gas,Yes,2010,Equipment Failure,Maintenance
INC2010-004,Adverse Environmental Effects,2010-01-08,Red Earth Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,56.86338,-114.70979,,Not Applicable,Not Applicable,Yes,2010,Incorrect Operation,Human Factors
INC2010-005,Operation Beyond Design Limits,2010-01-16,High Level,Alberta,NOVA Gas Transmission Ltd.,Closed,57.503,-116.45,,Not Applicable,Not Applicable,No,2010,Equipment Failure,Engineering and Planning
INC2010-012,Release of Substance,2010-01-31,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,55.88802,-112.12314,,Natural Gas - Sweet,Gas,No,2010,Defect and Deterioration,Maintenance
INC2010-013,Operation Beyond Design Limits,2010-02-01,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,52.09768,-110.69846,,Not Applicable,Not Applicable,No,2010,"External Interference, Incorrect Operation","Engineering and Planning, Failure in communication"
INC2010-016,Release of Substance,2010-02-08,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83034,-118.64722,,Natural Gas - Sweet,Gas,No,2010,Corrosion and Cracking,Maintenance
INC2010-021,Release of Substance,2010-02-12,Grovedale,Alberta,NOVA Gas Transmission Ltd.,Closed,54.95425,-119.19227,,Natural Gas - Sweet,Gas,No,2010,Equipment Failure,Engineering and Planning
INC2010-032,Release of Substance,2010-03-03,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.34669,-116.87305,,Natural Gas - Sweet,Gas,No,2010,Defect and Deterioration,Maintenance
INC2010-033,Release of Substance,2010-03-12,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,52.75419,-114.11969,,Natural Gas - Sweet,Gas,No,2010,Corrosion and Cracking,Maintenance
INC2010-041,Fire,2010-03-27,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.19166,-118.1942,,Not Applicable,Not Applicable,No,2010,Defect and Deterioration,Maintenance
INC2010-050,Fire,2010-05-11,Sundre,Alberta,NOVA Gas Transmission Ltd.,Closed,51.943585,-114.736419,,Not Applicable,Not Applicable,No,2010,"Incorrect Operation, Other Causes",Engineering and Planning
INC2010-051,Release of Substance,2010-05-22,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.19361,-118.20534,1.0,Natural Gas - Sweet,Gas,No,2010,Equipment Failure,Maintenance
INC2010-053,Release of Substance,2010-05-27,Brooks,Alberta,NOVA Gas Transmission Ltd.,Closed,50.69805,-111.53063,,Natural Gas - Sweet,Gas,No,2010,Defect and Deterioration,"Engineering and Planning, Maintenance"
INC2010-055,Release of Substance,2010-06-03,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.093481,-116.62138,0.1,Natural Gas - Sweet,Gas,No,2010,Equipment Failure,Maintenance
INC2010-058,Release of Substance,2010-06-16,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83027,-118.64709,,Natural Gas - Sweet,Gas,No,2010,Corrosion and Cracking,Engineering and Planning
INC2010-062,Release of Substance,2010-06-24,Whitecourt,Alberta,NOVA Gas Transmission Ltd.,Closed,54.1326,-115.2362,,Natural Gas - Sweet,Gas,No,2010,Defect and Deterioration,Maintenance
INC2010-066,Release of Substance,2010-07-08,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,53.16727,-112.15003,0.5,Natural Gas - Sweet,Gas,No,2010,Corrosion and Cracking,Natural or Environmental Forces
INC2010-089,Release of Substance,2010-08-16,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83026,-118.64722,,Natural Gas - Sweet,Gas,No,2010,Defect and Deterioration,Engineering and Planning
INC2010-090,Release of Substance,2010-08-18,Beiseker,Alberta,NOVA Gas Transmission Ltd.,Closed,51.32247,-113.38195,,Natural Gas - Sweet,Gas,No,2010,"Defect and Deterioration, External Interference","Inadequate Procurement, Maintenance"
INC2010-096,Release of Substance,2010-09-07,Carstairs,Alberta,NOVA Gas Transmission Ltd.,Closed,51.50897,-113.86985,3.0,Natural Gas - Sweet,Gas,No,2010,Defect and Deterioration,Maintenance
INC2010-098,Release of Substance,2010-09-11,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,57.18167,-118.19522,,Natural Gas - Sweet,Gas,No,2010,Equipment Failure,Standards and Procedures
INC2010-104,Release of Substance,2010-09-23,Enchant,Alberta,NOVA Gas Transmission Ltd.,Closed,50.04984,-112.53824,,Natural Gas - Sweet,Gas,No,2010,Defect and Deterioration,"Human Factors, Natural or Environmental Forces"
INC2010-105,Release of Substance,2010-09-29,Spirit River,Alberta,NOVA Gas Transmission Ltd.,Closed,55.77705,-119.36823,,Natural Gas - Sweet,Gas,No,2010,Corrosion and Cracking,Standards and Procedures
INC2010-111,Release of Substance,2010-10-07,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.0923,-116.62298,,Natural Gas - Sweet,Gas,No,2010,Defect and Deterioration,Maintenance
INC2010-121,Release of Substance,2010-11-01,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83012222,-118.6471944,,Natural Gas - Sweet,Gas,No,2010,Defect and Deterioration,Maintenance
INC2010-124,Operation Beyond Design Limits,2010-11-05,Gordondale,Alberta,NOVA Gas Transmission Ltd.,Closed,55.82576,-119.73576,,Not Applicable,Not Applicable,No,2010,External Interference,Engineering and Planning
INC2010-128,Release of Substance,2010-11-17,Grovedale,Alberta,NOVA Gas Transmission Ltd.,Closed,54.67993889,-118.9943333,1.0,Natural Gas - Sweet,Gas,No,2010,Equipment Failure,Maintenance
INC2010-145,Release of Substance,2010-12-01,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,51.93893056,-112.0749444,,Natural Gas - Sweet,Gas,No,2010,"Defect and Deterioration, Equipment Failure",Maintenance
INC2010-159,Release of Substance,2010-12-17,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.50731,-116.44281,,Natural Gas - Sweet,Gas,No,2010,Defect and Deterioration,Maintenance
INC2010-164,Release of Substance,2010-12-22,Jarvie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.65256,-114.52778,,Natural Gas - Sweet,Gas,No,2010,Equipment Failure,Maintenance
INC2011-011,Release of Substance,2011-01-31,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,55.57555,-113.87749,,Natural Gas - Sweet,Gas,No,2011,Equipment Failure,Maintenance
INC2011-030,Release of Substance,2011-02-20,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,58.44721,-119.22429,,Natural Gas - Sweet,Gas,No,2011,Equipment Failure,Engineering and Planning
INC2011-035,Fire,2011-03-02,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Closed,57.25289,-111.05669,,Not Applicable,Not Applicable,No,2011,Incorrect Operation,"Human Factors, Inadequate Supervision"
INC2011-036,Release of Substance,2011-03-02,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,52.36527,-113.08174,,Natural Gas - Sweet,Gas,No,2011,Equipment Failure,Maintenance
INC2011-042,Release of Substance,2011-03-13,Rosebud,Alberta,NOVA Gas Transmission Ltd.,Closed,51.18869,-112.93903,,Natural Gas - Sweet,Gas,No,2011,Defect and Deterioration,Maintenance
INC2011-054,Fatality,2011-04-01,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.868241,-118.809763,,Not Applicable,Not Applicable,Yes,2011,Incorrect Operation,Human Factors
INC2011-064,Release of Substance,2011-04-21,Zama Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,59.06394,-118.84693,,Natural Gas - Sweet,Gas,No,2011,Equipment Failure,Engineering and Planning
INC2011-073,Release of Substance,2011-05-07,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.60098,-116.46762,10.0,Natural Gas - Sweet,Gas,No,2011,Natural Force Damage,Maintenance
INC2011-085,Release of Substance,2011-05-27,Pincher Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,49.30721,-114.015,2.0,Natural Gas - Sweet,Gas,No,2011,Corrosion and Cracking,Engineering and Planning
INC2011-104,Release of Substance,2011-06-30,Red Deer,Alberta,NOVA Gas Transmission Ltd.,Closed,52.24822,-113.61774,,Natural Gas - Sweet,Gas,No,2011,External Interference,Maintenance
INC2011-105,Fire,2011-07-07,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.96088,-116.46033,,Not Applicable,Not Applicable,No,2011,Equipment Failure,Maintenance
